id,unit_no,size,nett_price,spa_price,comm,sale_id,project_id,created_at,updated_at
437,Q15-19,850,283360.0,308000.0,2663.584,,20,2017-05-23 11:57:54.043435,2017-05-23 11:57:54.065675
105,A-25-3A,1000,469700.0,520700.0,3522.87,,6,2017-04-29 09:10:29.803708,2017-04-29 09:10:29.82345
438,11-11,1600,800000.0,1000000.0,11280.0,,8,2017-05-23 15:34:33.958585,2017-05-23 15:34:33.988805
106,B-33A-02,1219,731510.0,860600.0,11689.53,,1,2017-04-29 09:10:29.922751,2017-04-29 09:10:29.939036
445,13A-11,411,589984.2,690040.0,9427.947516,,7,2017-05-25 09:34:43.973529,2017-05-25 09:34:43.973529
450,10-12,411,586564.2,686040.0,9373.295916,,7,2017-05-27 09:49:48.862523,2017-05-27 09:49:48.862523
107,A-3A-3A,1000,459000.0,510000.0,3442.62,,6,2017-04-29 09:10:30.109881,2017-04-29 09:10:30.126833
486,Q11-20,850,293480.0,319000.0,2758.712,,20,2017-05-31 15:46:02.079423,2017-05-31 15:46:02.10849
508,C-28-7,957,979200.0,1088000.0,23011.2,,3,2017-06-04 10:58:23.456702,2017-06-04 10:58:23.474352
108,A-10-02,1219,685059.2,822400.0,10947.25,,1,2017-04-29 09:10:30.331017,2017-04-29 09:10:30.352202
109,A-28-06,1403,807075.0,949500.0,12897.06,,1,2017-04-29 09:10:30.458412,2017-04-29 09:10:30.483842
110,B-30-05,1403,783785.0,922100.0,12524.88,,1,2017-04-29 09:10:30.620287,2017-04-29 09:10:30.645571
111,C-36-08,1219,766445.0,901700.0,12247.79,,1,2017-04-29 09:10:30.753585,2017-04-29 09:10:30.772452
112,2-18-7,1100,629600.0,629600.0,4722.16,,13,2017-04-29 09:10:30.912731,2017-04-29 09:10:30.935437
113,L34-3A,1335,637920.0,708800.0,5996.45,,10,2017-04-29 09:10:31.055549,2017-04-29 09:10:31.075722
114,C-32-2,708,734400.0,816000.0,17258.4,,3,2017-04-29 09:10:31.534557,2017-04-29 09:10:31.557139
115,B-13A-03,1219,694110.0,816600.0,11091.88,,1,2017-04-29 09:10:31.76496,2017-04-29 09:10:31.785414
116,C-35-01,1403,748170.0,880200.0,11955.7566,,1,2017-04-29 09:10:32.2142,2017-04-29 09:10:32.245115
475,A-13-05,1347,0.0,0.0,0.0,,17,2017-05-30 11:58:08.854985,2017-05-30 11:58:08.863461
117,B-25-9,850,448000.0,448000.0,3360.12,,2,2017-04-29 09:10:32.374398,2017-04-29 09:10:32.393471
480,A-13-05,1347,1346150.0,2071000.0,31634.525,,17,2017-05-31 03:15:28.49676,2017-05-31 03:15:28.49676
374,B-30-3A,1000,469000.0,520000.0,3526.88,,6,2017-05-07 07:23:43.002065,2017-05-07 16:07:03.243061
118,C-11-3A,1403,725220.0,853200.0,11589.02,,1,2017-04-29 09:10:32.854327,2017-04-29 09:10:32.878023
386,20-05,578,852721.0,980140.0,13626.48158,,7,2017-05-10 13:31:22.214014,2017-05-10 13:31:22.232478
119,C-33A-8,850,460000.0,460000.0,3450.12,,2,2017-04-29 09:10:33.179229,2017-04-29 09:10:33.210488
396,C-23-16,900,400000.0,420000.0,3008.0,,12,2017-05-14 03:00:57.061064,2017-05-14 03:00:57.082987
397,N15-1,1155,718960.0,817000.0,10137.336,,9,2017-05-14 03:12:16.778175,2017-05-14 03:12:16.800165
120,B-17-06,1403,775625.0,912500.0,12394.49,,1,2017-04-29 09:10:33.345126,2017-04-29 09:10:33.372366
398,N17-1,1155,712800.0,810000.0,10050.48,,9,2017-05-14 03:15:48.716804,2017-05-14 03:15:48.736922
